budget,log_budget,popularity,log_popularity,vote_average,vote_count,log_vote_count,runtime,release_year,release_month,release_quarter,release_dow,genre_count,prod_company_count,cast_size,star_power_count,season_winter,season_spring,season_summer,season_fall,genre_Drama,genre_Comedy,genre_Thriller,genre_Action,genre_Romance,genre_Adventure,genre_Crime,genre_Science Fiction,genre_Horror,genre_Family,genre_Fantasy,genre_Mystery,genre_Animation,genre_History,genre_Music,pc_Warner_Bros.,pc_Universal_Pictures,pc_Paramount_Pictures,pc_Twentieth_Century_Fox_Film_Corporation,pc_Columbia_Pictures,pc_New_Line_Cinema,pc_Metro-Goldwyn-Mayer_(MGM),pc_Touchstone_Pictures,pc_Walt_Disney_Pictures,pc_Relativity_Media
195000000.0,19.088510121656228,43.349855,3.7921094393026675,5.5,2598.0,7.8628820346414905,114.0,2013.0,2.0,1.0,2.0,3,6,23,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
105000000.0,18.46947091764561,61.196071,4.13029183054743,7.3,3769.0,8.234830280442056,143.0,2013.0,5.0,2.0,4.0,2,6,31,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
150000000.0,18.826145858727198,62.169881,4.145827621103231,6.2,2317.0,7.748460023899697,116.0,2010.0,5.0,2.0,2.0,4,2,13,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
180000000.0,19.00846741441004,56.523205,4.052188431610156,6.7,4794.0,8.475328987317539,131.0,2013.0,7.0,3.0,3.0,3,4,43,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
195000000.0,19.088510121656228,28.529607,3.3853933871674418,6.1,3299.0,8.101677747454572,154.0,2011.0,6.0,2.0,1.0,3,4,39,2,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
185000000.0,19.035866388448003,75.674458,4.339568641178461,5.7,2495.0,7.822444729489319,122.0,2008.0,5.0,2.0,2.0,2,2,38,4,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
175000000.0,18.980296537602072,51.692953,3.9644817274410267,6.6,1736.0,7.459914766241105,93.0,2015.0,11.0,4.0,5.0,3,2,19,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
185000000.0,19.035866388448003,125.114374,4.837189225372334,6.7,4641.0,8.442900586834382,93.0,2012.0,6.0,2.0,3.0,6,2,15,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
185000000.0,19.035866388448003,65.352913,4.194987663356308,6.6,2568.0,7.851271997109883,122.0,2016.0,7.0,3.0,3.0,3,7,33,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
180000000.0,19.00846741441004,66.390712,4.210507204268094,7.8,6296.0,8.747828608488742,98.0,2008.0,6.0,2.0,6.0,2,3,29,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
140000000.0,18.757152987716434,22.57178,3.160050233825037,6.1,783.0,6.664409020350408,91.0,2007.0,8.0,3.0,2.0,4,1,18,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
200000000.0,19.11382792951231,45.274225,3.834585110615373,5.6,4903.0,8.497806477616047,158.0,2009.0,10.0,4.0,5.0,3,4,52,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
200000000.0,19.11382792951231,39.744242,3.7073145290895027,6.6,1095.0,6.999422467507961,96.0,2009.0,11.0,4.0,2.0,2,2,18,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
176000003.0,18.9859945757297,85.36908,4.458629741388757,5.2,2768.0,7.926241523170962,124.0,2015.0,2.0,1.0,2.0,4,4,66,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
